City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,sayula,19.8667,-103.6167,74.39,36,49,6.08,MX,2023-02-09 00:09:07
231,aswan,24.0934,32.907,54.63,36,93,11.52,EG,2023-02-09 00:09:07
232,shenjiamen,29.9576,122.298,50.97,82,100,17.83,CN,2023-02-09 00:04:37
233,zambezi,-13.5432,23.1047,62.64,96,99,5.17,ZM,2023-02-09 00:09:08
234,vahan,40.5755,45.3977,17.15,93,100,4.45,AM,2023-02-09 00:09:08
235,empangeni,-28.762,31.8933,70.32,92,99,8.7,ZA,2023-02-09 00:09:08
236,dabola,10.75,-11.1167,78.76,20,4,2.3,GN,2023-02-09 00:09:09
237,pilar,-9.5972,-35.9567,75.51,81,100,4.92,BR,2023-02-09 00:09:09
238,narsaq,60.9167,-46.05,17.82,96,100,8.81,GL,2023-02-09 00:09:10
239,norman wells,65.282,-126.8329,-8.14,96,97,3.69,CA,2023-02-09 00:09:10
240,san quintin,30.4833,-115.95,62.73,36,5,8.25,MX,2023-02-09 00:09:11
241,hualmay,-11.0964,-77.6139,73.98,79,55,9.91,PE,2023-02-09 00:09:11
242,mercedes,-34.6515,-59.4307,79.79,38,74,6.96,AR,2023-02-09 00:09:12
243,sidney,-33.8679,151.2073,75.31,83,75,18.41,AU,2023-02-09 00:05:00
244,san jeronimo,-11.9472,-75.2829,54.55,73,58,5.39,PE,2023-02-09 00:05:44
245,fortuna,40.5982,-124.1573,54.93,82,0,10.36,US,2023-02-09 00:06:57
246,rudbar,30.15,62.6,66.61,45,99,11.21,AF,2023-02-09 00:09:13
247,ostrovnoy,68.0531,39.5131,31.17,83,100,38.27,RU,2023-02-09 00:09:14
248,sambava,-14.2667,50.1667,74.5,90,30,7.4,MG,2023-02-09 00:09:14
249,hokitika,-42.7167,170.9667,61.07,53,82,9.78,NZ,2023-02-09 00:09:15
250,tupik,54.4253,119.9327,-10.68,96,100,0.69,RU,2023-02-09 00:09:15
